"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.921997541976635
"SBS96B","SBS7b",0.979370357527934
"SBS96C","SBS2",0.991980242140455
"SBS96D","SBS4",0.978936122280351
"SBS96E","SBS3",0.923043063051375
"SBS96F","SBS40",0.918670638614724
"SBS96G","SBS44",0.993276986927528
"SBS96H","SBS17b",0.999363648562413
"SBS96I","SBS1",0.992471652784612
"SBS96J","SBS16",0.950235098634135
"SBS96L","SBS12",0.976083389405657
"SBS96N","SBS18",0.989502403605579
"SBS96O","SBS7c",0.997329530179163
"SBS96P","SBS17a",0.999768843962227
"SBS96Q","SBS7d",0.962951500272273
"SBS96R","SBS13",0.998595951858646
"SBS96S","SBS22",0.982129455751883
"SBS96T","SBS28",0.97981806864283
