"","ID1","ID2","ID3","ID4","ID5","ID6","ID8","ID9","ID11","ID13","ID14"
"ID83A",0.00280462124760783,0.999467947879729,0.0313944951421219,0.00457694738696979,0.149555070562179,0.0250084175816815,0.0288057609106568,0.0183075952444541,0.0165882535305801,0.0164822522988398,0.0777209684268169
"ID83B",0.999781966876148,0.00465262820795498,0.0821235573578842,0.00336029527975168,0.007824850438098,0.0382687106200774,0.0509375418789936,0.0147161583170704,0.0585329257738741,0.022312007561785,0.451646335997186
"ID83C",0.630431161368934,0.109503125857463,0.14593529079838,0.0672550514587406,0.288613062630713,0.0727375526014231,0.0552195391791751,0.230426059587651,0.0867693284352813,0.080836251973242,0.311173239566309
"ID83D",0.0150870006437561,0.0826809489312057,0.221477346006491,0.149895366389271,0.87550303933271,0.0835941339830407,0.109312413309754,0.462818949028319,0.186016532499202,0.196315897300382,0.0669741309193334
"ID83E",0.00471566064067441,0.00240814061378403,0.0723808341244528,0.0294244668563634,0.152999347657421,0.362555359249925,0.989616641649058,0.0868861546832608,0.0123327544868457,0.0836777830449045,0.0278165070715213
"ID83F",0.00932009598478789,0.0072304788934292,0.977095537079392,0.0682496619149519,0.275668309926577,0.0525586181682233,0.0883110692959496,0.40351076245974,0.230679166055511,0.0921208439359374,0.0223124208858638
"ID83G",0.0132089880400701,0.0055139648317043,0.0428054940971676,0.019339530465535,0.0978687410765632,0.997582587028362,0.436598195514803,0.0726119919889647,0.00523330753001339,0.0409694395079135,0.0225862078421533
"ID83H",0.0121503052617721,0.0428743256500975,0.554538900461187,0.0369299436150774,0.483059504875513,0.108333502398799,0.136218492034162,0.993634760920995,0.0186440761211596,0.207058027465682,0.0562847084175623
"ID83I",0.00381562345859854,0.0114401024859462,0.0961907096290789,0.0456906165407273,0.622369173514184,0.0295230910057884,0.0700822085191579,0.209577119178265,0.0297536111702874,0.989348426883919,0.0218046763513139
"ID83J",0.00658685963319328,0.00988969444694621,0.0605228880236897,0.990177950101191,0.220277832599232,0.0281640940411941,0.044602104856986,0.0621264326297601,0.00528742831597839,0.0453622997605911,0.0209857870529563
"ID83K",0.253574225574768,0.107130834918889,0.0446323851176524,0.013716515879913,0.0557559196274782,0.0257830206971248,0.0325791647740035,0.0307174421433499,0.0327742542461236,0.0281629939955416,0.976557907048022
